Site,Título,URL,Dia,Mês,bolsonaro,caracteres total,palavras total,caracteres sem nome,palavras sem nome
R7,Projeto de Flávio Bolsonaro livra de punição agente que neutralizar fuzil</a,http://noticias.r7.com/brasil/projeto-de-flavio-bolsonaro-livra-de-punicao-agente-que-neutralizar-fuzil-19042019,2019-04-19,2019-04,Sim,76,7,60,5
R7,Bolsonaro almoça em Brasília para comemorar aniversário de Flávio</a,http://noticias.r7.com/brasil/bolsonaro-almoca-em-brasilia-para-comemorar-aniversario-de-flavio-28042019,2019-04-28,2019-04,Sim,68,9,52,7
O Globo,Flávio Bolsonaro acusa PT de colaborar com conflito na Venezuela ao 'financiar essa ditadura',https://oglobo.globo.com/mundo/flavio-bolsonaro-acusa-pt-de-colaborar-com-conflito-na-venezuela-ao-financiar-essa-ditadura-23636748,2019-05-02,2019-05,Sim,93,6,77,4
O Globo,Quatro assessores de Flávio Bolsonaro apontados no caso Queiroz nunca tiveram crachás na Alerj,https://epoca.globo.com/quatro-assessores-de-flavio-bolsonaro-apontados-no-caso-queiroz-nunca-tiveram-crachas-na-alerj-23638058,2019-05-02,2019-05,Sim,94,6,78,4
Veja,"Conflito armado não resolveria crise na Venezuela, diz Flávio Bolsonaro",https://veja.abril.com.br/mundo/conflito-armado-nao-resolveria-crise-na-venezuela-diz-flavio-bolsonaro/,2019-05-02,2019-05,Sim,71,8,55,6
O Globo,Flávio Bolsonaro e Paulo Marinho perto de romper,https://epoca.globo.com/guilherme-amado/flavio-bolsonaro-paulo-marinho-perto-de-romper-23644167,2019-05-06,2019-05,Sim,48,6,32,4
O Globo,Flávio Bolsonaro diz que decreto sobre armas é declaração de respeito à democracia,https://oglobo.globo.com/brasil/flavio-bolsonaro-diz-que-decreto-sobre-armas-declaracao-de-respeito-democracia-23651200,2019-05-08,2019-05,Sim,82,6,66,4
Congresso em Foco,"Flávio Bolsonaro assume “projeto Richtofen”, que proíbe saidinhas a quem matou pai ou mãe",https://congressoemfoco.uol.com.br/especial/noticias/flavio-bolsonaro-assume-projeto-richtofen-que-proibe-saidinhas-a-quem-matou-pai-ou-mae/,2019-05-10,2019-05,Sim,89,6,73,4
O Globo,O que esperar da quebra de sigilo bancário de Flávio Bolsonaro e de Queiroz,https://epoca.globo.com/guilherme-amado/o-que-esperar-da-quebra-de-sigilo-bancario-de-flavio-bolsonaro-de-queiroz-23657965,2019-05-11,2019-05,Sim,75,1,59,-1
Folha,Flávio pede fim de apuração e diz que pode ter errado por 'confiar demais' em Queiroz,https://www1.folha.uol.com.br/poder/2019/05/flavio-pede-fim-de-apuracao-e-diz-que-pode-ter-errado-por-confiar-demais-em-queiroz.shtml,2019-05-12,2019-05,Não,85,6,79,5
O Globo,Bolsonaro diz que Flávio é vítima de acusação 'política' e 'maldosa',https://oglobo.globo.com/brasil/bolsonaro-diz-que-flavio-vitima-de-acusacao-politica-maldosa-23660321,2019-05-12,2019-05,Sim,68,9,52,7
O Globo,Flávio Bolsonaro diz que investigação do MP sobre 'caso Queiroz' é ilegal e vê perseguição contra ele,https://oglobo.globo.com/brasil/flavio-bolsonaro-diz-que-investigacao-do-mp-sobre-caso-queiroz-ilegal-ve-perseguicao-contra-ele-23660520,2019-05-12,2019-05,Sim,101,6,85,4
O Globo,Flávio Bolsonaro diz que investigação do MP sobre 'caso Queiroz' é ilegal e vê 'perseguição implacável' contra ele,https://oglobo.globo.com/brasil/flavio-bolsonaro-diz-que-investigacao-do-mp-sobre-caso-queiroz-ilegal-ve-perseguicao-implacavel-contra-ele-23660520,2019-05-12,2019-05,Sim,114,6,98,4
O Globo,Flávio e pai retomam ofensiva contra MP do Rio,https://oglobo.globo.com/brasil/flavio-pai-retomam-ofensiva-contra-mp-do-rio-23660520,2019-05-12,2019-05,Não,46,6,40,5
O Globo,Flávio e Bolsonaro retomam ofensiva contra MP do Rio,https://oglobo.globo.com/brasil/flavio-bolsonaro-retomam-ofensiva-contra-mp-do-rio-23660520,2019-05-12,2019-05,Sim,52,6,36,4
